,x,y,Профессия
0,9.128991,38.823967,Инженер данных
1,3.0499163,38.570297,Аналитик
2,3.9641073,39.847824,Аналитик данных
3,3.886883,39.99786,Bi аналитик
4,25.174976,23.116913,ML инженер
5,25.07923,21.321144,Data scientist
