,x,y,Профессия
0,71.15866,82.53246,Инженер данных
1,62.96648,54.346394,Аналитик
2,64.89225,59.291584,Аналитик данных
3,69.37135,66.14535,Bi аналитик
4,35.964222,52.25428,ML инженер
5,19.716776,34.960518,Data scientist
