,x,y,Профессия
0,84.86664,78.751945,Инженер данных
1,83.82411,77.96534,Аналитик
2,84.12062,78.16682,Аналитик данных
3,84.18349,78.236176,Bi аналитик
4,87.005226,66.04249,ML инженер
5,84.76575,62.777924,Data scientist
