,x,y,skill_id,Навык,Профессия,size
109,11.669201,-1.9706748,1681,Грамотность,Аналитик,2.1533834586465987
110,11.438523,-1.663945,135,SWOT анализ,Аналитик,2.1533834586465987
111,13.125841,0.36706,744,Оптимизация бизнес-процессов,Аналитик,1.9278195488721719
112,10.683573,-2.482331,721,Анализ ассортиментной линейки,Аналитик,1.81503759398494
113,12.4644165,-2.6446965,1509,Ориентация на результат,Аналитик,1.81503759398494
114,14.489325,2.2624662,1780,VBA,Аналитик,1.702255639097745
115,11.008873,-3.845159,771,Анализ финансовых показателей,Аналитик,1.702255639097745
116,13.435127,-0.43545067,56,Управленческая отчетность,Аналитик,1.702255639097745
117,9.864116,-1.141352,1485,Сводные таблицы,Аналитик,1.589473684210513
118,10.11656,-2.6309774,906,Анализ продаж,Аналитик,1.589473684210513
119,10.163431,-2.0263147,1473,Контроль и анализ ценообразования,Аналитик,1.589473684210513
120,10.008172,-3.922474,478,1С: Предприятие 8,Аналитик,1.4766917293233175
121,9.836771,-3.071322,773,Конкурентная аналитика,Аналитик,1.4766917293233175
122,9.781763,-3.9311635,446,Анализ конкурентной среды,Аналитик,1.4766917293233175
123,9.105691,-5.614808,1188,Бизнес-моделирование,Аналитик,1.363909774436086
124,9.225876,-2.34823,682,Ведение отчетности,Аналитик,1.363909774436086
125,9.541749,-5.521377,149,Ценообразование,Аналитик,1.363909774436086
126,8.955173,-5.4320498,1539,1С: Предприятие,Аналитик,1.363909774436086
127,10.172258,-5.798021,1112,Деловое общение,Аналитик,1.251127819548854
128,9.107729,-6.2899904,949,1С,Аналитик,1.251127819548854
129,8.865089,-1.9666395,1269,Продвинутый пользователь ПК,Аналитик,1.251127819548854
130,10.919049,-5.184933,263,Аналитика продаж,Аналитик,1.251127819548854
131,9.108235,-3.324129,749,Экономический анализ,Аналитик,1.251127819548854
132,8.649063,-2.88618,707,Многозадачность,Аналитик,1.251127819548854
133,11.272965,-5.4868646,1765,Бюджетирование,Аналитик,1.251127819548854
134,8.3082285,-2.6863704,1597,MS Outlook,Аналитик,1.1383458646616589
135,8.33986,-2.2213273,257,Пользователь ПК,Аналитик,1.1383458646616589
136,8.444709,-6.433043,1355,Автоматизация процессов,Аналитик,1.1383458646616589
137,9.126839,-7.185127,922,План-фактный анализ бюджета,Аналитик,1.1383458646616589
138,8.183248,-5.599195,784,Описание бизнес-процессов,Аналитик,1.1383458646616589
139,7.5385246,-5.850006,661,b2b исследования,Аналитик,1.025563909774427
140,7.4998293,-4.074405,1560,Поиск информации в интернет,Аналитик,1.025563909774427
141,8.1484165,-7.337749,822,ERP-системы на базе 1С,Аналитик,1.025563909774427
142,7.6797943,-4.870682,908,Планирование,Аналитик,1.025563909774427
143,8.616803,-7.545054,1767,1С: Управление Торговлей,Аналитик,0.9127819548871954
144,7.982822,-7.3514905,1684,Анализ бизнес-процессов,Аналитик,0.9127819548871954
145,5.482708,-3.4094605,1385,Atlassian Confluence,Аналитик,0.8
146,7.072582,-6.962278,1543,Аналитические навыки,Аналитик,0.8
147,3.2950525,-0.4468625,506,Навыки презентации,Аналитик,0.8
148,6.751215,-7.098707,1457,Анализ ценообразования,Аналитик,0.8
149,7.3397446,-6.994357,1207,Разработка инструкций,Аналитик,0.8
150,5.9322367,-4.298558,875,Работа в условиях многозадачности,Аналитик,0.8
151,6.6423225,-6.0430183,819,Исследования рынка,Аналитик,0.8
152,1.0339762,-8.421074,487,Финансовая отчетность,Аналитик,0.8
153,6.280053,-4.804119,479,ABC-анализ,Аналитик,0.8
154,6.7914915,-7.519672,376,Ответственность,Аналитик,0.8
0,12.993043,10.383729,264,SQL,Аналитик данных,15.8
1,12.283902,10.4412365,1256,Python,Аналитик данных,7.101369863013702
2,12.348508,10.420267,1027,Английский,Аналитик данных,6.758904109589036
4,5.5153847,10.493894,981,PostgreSQL,Аналитик данных,2.2383561643835534
5,4.731769,10.436934,370,Linux,Аналитик данных,1.1424657534246663
6,5.5217867,10.400014,855,ETL,Аналитик данных,1.8958904109589096
8,14.722121,9.435841,765,Аналитическое мышление,Аналитик данных,9.430136986301365
10,14.69744,9.385875,1203,Анализ данных,Аналитик данных,10.526027397260275
11,4.135379,9.744363,1396,Hadoop,Аналитик данных,0.9369863013698666
12,16.875969,4.956003,818,Управление проектами,Аналитик данных,2.1013698630137094
13,3.7861824,9.252236,108,Spark,Аналитик данных,0.8684931506849333
14,4.2454996,8.686357,52,Data Analysis,Аналитик данных,1.416438356164377
16,3.9181623,8.327026,3,DWH,Аналитик данных,1.279452054794533
17,16.466515,6.3742924,91,MS SQL,Аналитик данных,4.15616438356164
18,14.788639,9.22397,614,MS PowerPoint,Аналитик данных,8.197260273972612
19,16.458977,3.2699087,792,Atlassian Jira,Аналитик данных,1.8273972602739763
20,16.49312,4.184464,1779,Базы данных,Аналитик данных,2.3753424657534206
21,16.94308,3.456116,1506,xa0— B2 — Средне-продвинутый,Аналитик данных,1.6219178082191767
24,16.331158,3.117234,1715,xa0— B1 — Средний,Аналитик данных,1.8273972602739763
27,18.086895,4.1249356,825,Google Analytics,Аналитик данных,1.3479452054794436
28,16.669294,7.128843,730,Power BI,Аналитик данных,4.84109589041095
