,x,y,Профессия
0,77.13371,51.31848,Инженер данных
1,70.686584,80.607155,Аналитик
2,71.95418,77.190796,Аналитик данных
3,78.764595,76.22985,Bi аналитик
4,49.265457,21.42085,ML инженер
5,43.185158,54.11266,Data scientist
