,x,y,Профессия
0,44.259686,7.373591,Инженер данных
1,49.981766,2.1835568,Аналитик
2,50.82409,2.9514885,Аналитик данных
3,51.10841,2.8838387,Bi аналитик
4,6.5834656,21.27912,ML инженер
5,4.2104597,21.217075,Data scientist
