,x,y,Профессия
0,4.306645,2.8045573,Инженер данных
1,4.014885,2.8192582,Аналитик
2,4.1558433,2.8726711,Аналитик данных
3,4.1837707,2.8888617,Bi аналитик
4,4.381399,0.5453871,ML инженер
5,4.271162,0.4844147,Data scientist
