skill_name,skill_id,salary_q25,salary_q50,salary_q75,frequency,popular_profession_id,popular_profession_name,Data scientist,Аналитик,Инженер данных,ML инженер,Big Data
ремонт инструмента,6273,,,,0.00048529554498689704,2,Инженер данных,0.00014041656915516032,0.0,0.0002749821261617995,0.0,0.0
Внешний аудит информационных систем,6274,,,,9.705910899737941e-05,3,ML инженер,4.6805523051720103e-05,0.0,0.0,6.75949709341625e-05,0.0
ITGC,6275,,,,9.705910899737941e-05,1,Аналитик,0.0,3.099045493987852e-05,0.0,0.0,0.0
Excel Знание нормативной технической документации Про,6276,,,,9.705910899737941e-05,2,Инженер данных,0.0,0.0,5.49964252323599e-05,0.0,0.0
IPv4,6277,,,,0.00019411821799475881,2,Инженер данных,0.0,0.0,0.0001099928504647198,0.0,0.0
Видеоконференцсвязь,6278,,,,9.705910899737941e-05,2,Инженер данных,0.0,0.0,5.49964252323599e-05,0.0,0.0
организация и сопровождение рекламных компаний,6279,,,,9.705910899737941e-05,1,Аналитик,0.0,3.099045493987852e-05,0.0,0.0,0.0
UGC,6280,,,,9.705910899737941e-05,2,Инженер данных,4.6805523051720103e-05,0.0,5.49964252323599e-05,0.0,0.0
MS Paint,6281,,,,0.00038823643598951763,3,ML инженер,4.6805523051720103e-05,0.0,5.49964252323599e-05,0.000135189941868325,0.0
Навыки переговоров,6282,60450.0,80000.0,118725.0,0.009123556245753664,3,ML инженер,0.001825415399017084,0.0008057518284368414,0.0002199857009294396,0.002027849128024875,0.001007302946361118
Yandex.Cloud,6283,,,,9.705910899737941e-05,2,Инженер данных,0.0,0.0,5.49964252323599e-05,0.0,0.0
Ведение групп в социальных сетях,6284,,,,0.0012617684169659322,1,Аналитик,0.0002340276152586005,0.00024792363951902817,0.0,0.0002027849128024875,0.0
ISO 14004,6285,,,,9.705910899737941e-05,2,Инженер данных,0.0,0.0,5.49964252323599e-05,0.0,0.0
Политический анализ,6286,,,,9.705910899737941e-05,1,Аналитик,0.0,3.099045493987852e-05,0.0,0.0,0.0
Электронная коммерция,6287,,,,0.00019411821799475881,1,Аналитик,0.0,6.198090987975704e-05,0.0,6.75949709341625e-05,0.0
Spring Transaction,6288,,,,9.705910899737941e-05,2,Инженер данных,0.0,3.099045493987852e-05,5.49964252323599e-05,0.0,0.0
OEBS,6289,,,,0.00038823643598951763,0,Data scientist,0.00018722209220688041,0.0,0.0,0.0,0.0
Работа с http/web-сервисами,6290,,,,0.00019411821799475881,1,Аналитик,0.0,6.198090987975704e-05,0.0,0.0,0.0
капитальное строительство,6291,,,,9.705910899737941e-05,1,Аналитик,0.0,3.099045493987852e-05,0.0,0.0,0.0
Библиотеки: Statsmodels CatBoost GLM,6292,,,,9.705910899737941e-05,3,ML инженер,4.6805523051720103e-05,3.099045493987852e-05,0.0,6.75949709341625e-05,0.0
размещение рекламы SEO,6293,,,,9.705910899737941e-05,1,Аналитик,0.0,3.099045493987852e-05,0.0,0.0,0.0
Сопровождение камеральных проверок,6294,,,,9.705910899737941e-05,0,Data scientist,4.6805523051720103e-05,0.0,0.0,0.0,0.0
Bitbucket,6295,,,,0.0006794137629816559,3,ML инженер,4.6805523051720103e-05,6.198090987975704e-05,0.0001099928504647198,0.000135189941868325,0.0
Qt,6296,70987.0,100000.0,193500.0,0.0022323595069397265,2,Инженер данных,0.0002340276152586005,3.099045493987852e-05,0.0007699499532530386,0.000405569825604975,0.0002518257365902795
Rust,6297,,,,0.00038823643598951763,2,Инженер данных,4.6805523051720103e-05,0.0,0.00016498927569707968,6.75949709341625e-05,0.0
MIPI,6298,,,,9.705910899737941e-05,2,Инженер данных,0.0,0.0,5.49964252323599e-05,0.0,0.0
прием и обработка заказов,6299,,,,0.00038823643598951763,1,Аналитик,0.0,9.297136481963555e-05,0.0,6.75949709341625e-05,0.0
