prof_name,prof_id,salary_q25,salary_q50,salary_q75,frequency,popular_skills
Data scientist,0,48071,65250,120000,0.3038920702707949,"Английский, SQL, Python, Грамотная речь, Ведение переговоров, Работа в команде, Аналитическое мышление, Активные продажи, Linux, Деловое общение"
Аналитик,1,56550,82575,139200,0.40502766184606426,"Английский, Аналитическое мышление, SQL, Анализ данных, Python, Бизнес-анализ, BPMN, Работа с большим объемом информации, Грамотная речь, Управление проектами"
Инженер данных,2,55000,80000,120000,0.26361254003688245,"Английский, SQL, AutoCAD, Linux, Python, PostgreSQL, Проектная документация, Разработка проектной документации, Работа в команде, Пользователь ПК"
ML инженер,3,40000,58942,100000,0.2224594778219936,"Работа в команде, Английский, Python, Грамотная речь, Пользователь ПК, SQL, ML, Умение работать в команде, Активные продажи, Ответственность"
Big Data,4,56550,85000,175000,0.054547219256527224,"Английский, SQL, Big Data, Python, B2B Продажи, Hadoop, Активные продажи, Ведение переговоров, Spark, Аналитическое мышление"
