,x,y,Профессия
0,76.00244,96.466484,Инженер данных
1,74.780716,95.05447,Аналитик
2,75.05483,95.28164,Аналитик данных
3,75.24588,95.474,Bi аналитик
4,77.04506,85.13654,ML инженер
5,73.83402,81.226135,Data scientist
