,x,y,Профессия
0,92.44139,79.09716,Инженер данных
1,60.746075,72.46241,Аналитик
2,76.78261,80.20663,Аналитик данных
3,78.22816,81.472946,Bi аналитик
4,72.7526,44.025223,ML инженер
5,55.329548,27.008003,Data scientist
