,x,y,Профессия
0,100.433685,66.87638,Инженер данных
1,86.52711,96.90108,Аналитик
2,86.76537,96.882065,Аналитик данных
3,86.882614,96.81566,Bi аналитик
4,99.76885,64.686745,ML инженер
5,97.93806,62.879032,Data scientist
