,x,y,skill_id,Навык,Профессия,size
0,0.540462,-1.0116013,264,1С: Предприятие 8,Инженер данных,15.8
1,2.9194846,-2.3372326,1256,Работа в условиях многозадачности,Инженер данных,12.841284403669723
2,0.4552547,-0.96441805,1027,Piton,Инженер данных,12.08440366972475
3,-4.8530765,1.6617001,1226,Google AdWords,Инженер данных,4.3091743119266095
4,0.8198221,-1.1621063,981,Автоматизация отчетности,Инженер данных,4.102752293577969
5,2.5100632,-2.2583025,370,Quik,Инженер данных,3.8275229357798155
6,0.058368593,-0.74787104,855,Аналитические исследования,Инженер данных,3.758715596330277
7,4.066144,-3.0217528,420,Statistics,Инженер данных,3.758715596330277
8,-2.162448,0.40351328,765,Кредиторская задолженность,Инженер данных,3.208256880733945
9,6.2562866,-4.3560104,361,Yandex Data Lens,Инженер данных,3.208256880733945
10,-1.1626066,-0.10082045,1203,Стимулирование потребителей,Инженер данных,3.1394495412844066
11,5.9564466,-4.180889,1396,Ansible,Инженер данных,3.001834862385304
12,-0.20361236,-0.6051595,818,Security vulnerability disclosure,Инженер данных,2.726605504587151
13,5.8861446,-4.1438856,108,качественные исследования,Инженер данных,2.5201834862385355
14,2.551547,-1.9853293,52,Сельское хозяйство,Инженер данных,2.244954128440357
15,2.2786722,-2.0670154,1421,Launching new products,Инженер данных,2.176146788990818
16,-2.9379916,0.7863923,3,PSM,Инженер данных,2.038532110091742
17,-0.8952641,-0.24046524,91,Autodesk Maya,Инженер данных,1.6944954128440242
18,-2.3875208,0.51621604,614,Бухгалтерский учет,Инженер данных,1.6944954128440242
19,-0.058200363,-0.68183744,792,Командообразование,Инженер данных,1.5568807339449475
20,-0.9651439,-0.20429873,1779,Работа с документами постоянного хранения,Инженер данных,1.5568807339449475
21,0.9613524,-1.2439928,1506,Greenplum,Инженер данных,1.5568807339449475
22,7.5225744,-5.1087203,261,BPMN 2.0,Инженер данных,1.5568807339449475
23,3.232889,-2.5304592,946,Составление описания должностей,Инженер данных,1.4880733944954092
24,-3.0354764,0.80038357,1715,OLAP,Инженер данных,1.4880733944954092
25,4.961305,-3.5936422,1422,Amplitude,Инженер данных,1.419266055045871
26,4.636982,-3.370137,200,Управление интернет-проектами,Инженер данных,1.419266055045871
27,-9.097871,3.220995,825,Mockito,Инженер данных,1.3504587155963323
28,-1.5440406,0.09254891,730,Apache Superset,Инженер данных,1.3504587155963323
29,-8.932943,3.349791,1547,Oracle Primavera,Инженер данных,1.2128440366972557
30,1.9801388,-1.8058689,559,B2B Marketing,Инженер данных,1.2128440366972557
31,2.59425,-2.301304,1114,Оптимизация сайта,Инженер данных,1.2128440366972557
32,-9.664592,3.174665,728,Сборка ПК,Инженер данных,1.1440366972476919
33,-0.5833103,-0.40268052,1287,1С: Бухгалтерия,Инженер данных,1.1440366972476919
34,-6.1125617,2.195491,593,Cassandra,Инженер данных,1.0752293577981535
35,2.6491225,-2.003846,1316,IBM Datastage,Инженер данных,1.0752293577981535
36,3.8519833,-2.900146,990,pointcloud,Инженер данных,1.0752293577981535
37,7.9070444,-5.6561127,1388,Cognos BI,Инженер данных,1.006422018348615
