,x,y,Профессия
0,87.88573,96.98255,Инженер данных
1,86.3663,95.68739,Аналитик
2,86.7761,95.807465,Аналитик данных
3,87.03562,95.95591,Bi аналитик
4,98.81869,74.243126,ML инженер
5,94.978645,70.45996,Data scientist
