,x,y,Профессия
0,10.748557,10.070555,Инженер данных
1,10.556851,9.335807,Аналитик
2,10.8384,9.690763,Аналитик данных
3,10.90152,9.757107,Bi аналитик
4,5.1951265,9.353832,ML инженер
5,4.851549,9.027324,Data scientist
