skill_name,skill_id,salary_q25,salary_q50,salary_q75,frequency,popular_profession_id,popular_profession_name,Аналитик,Аналитик BI,Big Data,NLP,Data Scientist,Администратор баз данных,Продуктовый аналитик,Инженер данных,Аналитик данных,Computer Vision,Системный аналитик,ML инженер,Бизнес-аналитик
А/В тестирования,24,,,,0.0001889287738522577,0,Аналитик,8.183306055646482e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Разработка продукта,25,,,,0.0005667863215567731,4,Data Scientist,0.0,0.0,0.0,0.0,0.0006112469437652812,0.0,0.0,0.00047404598246029864,0.0,0.0,0.0,0.0,0.00016178611875101117
Inference Optimization,26,,,,0.0001889287738522577,11,ML инженер,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004210526315789474,0.0
Sentiment,27,,,,0.0001889287738522577,0,Аналитик,8.183306055646482e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
КИС,28,,,,0.0001889287738522577,5,Администратор баз данных,0.0,0.0,0.0,0.0,0.0,0.0007189072609633358,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PR,29,,,,0.0005667863215567731,2,Big Data,0.0,0.0,0.00046425255338904364,0.0,0.0,0.0,0.0,0.0,0.00042399830400678397,0.0,0.0,0.0004210526315789474,0.0
Zabbix,30,,,,0.004723219346306443,5,Администратор баз данных,0.0002454991816693944,0.0024271844660194173,0.00046425255338904364,0.0,0.0006112469437652812,0.012940330697340043,0.0,0.000711068973690448,0.0,0.0,0.0,0.0004210526315789474,0.00016178611875101117
SOC,31,,,,0.0001889287738522577,0,Аналитик,8.183306055646482e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Хранилище данных,32,,,,0.008123937275647081,7,Инженер данных,0.000900163666121113,0.0,0.002785515320334262,0.0,0.0006112469437652812,0.0,0.0,0.007821758710594928,0.00021199915200339198,0.0,0.0,0.003368421052631579,0.0
Аудит ИБ,33,,,,0.0003778575477045154,0,Аналитик,0.0002454991816693944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Amplitude,34,,,,0.0034007179293406384,6,Продуктовый аналитик,0.0009819967266775777,0.0024271844660194173,0.0,0.0,0.0,0.0,0.005681818181818182,0.0,0.00042399830400678397,0.0,0.0,0.0,0.0
ответственность,35,40000.0,60000.0,100000.0,0.011713583978839977,11,ML инженер,0.0018821603927986906,0.0,0.0009285051067780873,0.0,0.0003056234718826406,0.002156721782890007,0.0,0.00047404598246029864,0.00211999152003392,0.0,0.0016202203499675956,0.003789473684210526,0.0017796473062611229
Отчетность,36,,,,0.005290005667863216,1,Аналитик BI,0.0006546644844517185,0.007281553398058253,0.001392757660167131,0.0,0.0,0.0,0.0,0.0,0.002331990672037312,0.0,0.0003240440699935191,0.0,0.0008089305937550558
REST/SOAP,37,,,,0.0001889287738522577,10,Системный аналитик,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003240440699935191,0.0,0.0
Анализ рынка,38,50012.0,70000.0,100025.0,0.07047043264689212,0,Аналитик,0.03412438625204583,0.009708737864077669,0.0,0.0,0.004584352078239609,0.0,0.014204545454545454,0.00023702299123014932,0.010387958448166206,0.0,0.0,0.0016842105263157896,0.0071185892250444915
Решение проблем,39,,,,0.0001889287738522577,0,Аналитик,8.183306055646482e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Информационная безопасность,40,,,,0.0039675042508974115,2,Big Data,0.0009819967266775777,0.0,0.002321262766945218,0.0,0.0006112469437652812,0.0007189072609633358,0.0014204545454545455,0.00023702299123014932,0.00021199915200339198,0.0,0.0,0.0012631578947368421,0.00016178611875101117
Бизнес-анализ,41,69600.0,100050.0,160000.0,0.11808048365766106,12,Бизнес-аналитик,0.012684124386252046,0.012135922330097087,0.005571030640668524,0.0,0.0027506112469437654,0.0,0.007102272727272727,0.002370229912301493,0.006995972016111935,0.0,0.023979261179520414,0.0008421052631578948,0.07118589225044492
DataHub,42,,,,0.0005667863215567731,7,Инженер данных,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000711068973690448,0.0,0.0,0.0,0.0,0.0
Финансовый анализ,43,52500.0,78300.0,100050.0,0.026072170791611563,0,Аналитик,0.013747954173486088,0.0,0.0,0.0,0.0,0.0,0.0014204545454545455,0.0,0.0019079923680305278,0.0,0.0003240440699935191,0.0,0.003235722375020223
Аналитическое мышление,44,52200.0,77900.0,120000.0,0.24220668807859436,6,Продуктовый аналитик,0.05810147299509002,0.0703883495145631,0.015784586815227482,0.0028653295128939827,0.011919315403422982,0.004313443565780014,0.06960227272727272,0.0052145058070632855,0.054695781216875135,0.014814814814814815,0.03240440699935191,0.010105263157894737,0.05387477754408672
Инициативность,45,,,,0.001322501416965804,5,Администратор баз данных,0.0002454991816693944,0.0,0.0,0.0,0.0,0.0007189072609633358,0.0,0.0,0.00021199915200339198,0.0,0.0003240440699935191,0.0004210526315789474,0.0
Развитие бренда,46,,,,0.0007557150954090308,6,Продуктовый аналитик,0.00016366612111292964,0.0,0.0,0.0,0.0,0.0,0.0014204545454545455,0.0,0.00021199915200339198,0.0,0.0,0.0,0.0
