skill,skill_id,salary_q25,salary_q50,salary_q75,frequency,popular_profession_id,popular_profession_name,Инженер данных,Аналитик,Аналитик данных,Bi аналитик,ML инженер,Data scientist
Лидерские качества,1118,,,,0.0005005005005005005,3,Bi аналитик,0.0,0.0,0.0,0.0003633720930232558,0.0,0.0
in-app DSP,1119,,,,0.0005005005005005005,3,Bi аналитик,0.0,0.0,0.0,0.0003633720930232558,0.0,0.0
Проведение исследования,1120,,,,0.0005005005005005005,0,Инженер данных,0.0002701972439881113,0.0,0.0,0.0,0.0,0.0
i18n,1121,,,,0.0005005005005005005,0,Инженер данных,0.0002701972439881113,0.0,0.0,0.0,0.0,0.0
DMBOK DAMA,1122,,,,0.001001001001001001,0,Инженер данных,0.0005403944879762226,0.0,0.0,0.0,0.0,0.0
adjust,1123,,,,0.0005005005005005005,2,Аналитик данных,0.0,0.0,0.000304228780042592,0.0,0.0,0.0
Лидогенерация,1124,,,,0.0025025025025025025,3,Bi аналитик,0.0005403944879762226,0.00030950170225936243,0.0,0.0007267441860465116,0.0,0.0
Oracle Designer,1125,,,,0.0005005005005005005,0,Инженер данных,0.0002701972439881113,0.0,0.0,0.0,0.0,0.0
Nominatim,1126,,,,0.0005005005005005005,0,Инженер данных,0.0002701972439881113,0.0,0.0,0.0,0.0,0.0
Лидерство,1127,,,,0.003003003003003003,5,Data scientist,0.0002701972439881113,0.0,0.000304228780042592,0.0007267441860465116,0.0,0.005319148936170213
эффективно искать пути их разрешения,1128,,,,0.0005005005005005005,2,Аналитик данных,0.0,0.0,0.000304228780042592,0.0,0.0,0.0
MPP,1129,,,,0.0005005005005005005,0,Инженер данных,0.0002701972439881113,0.0,0.0,0.0,0.0,0.0
SIEM,1130,,,,0.0005005005005005005,1,Аналитик,0.0,0.00030950170225936243,0.0,0.0,0.0,0.0
Atlassian Jira,1131,120000.0,150000.0,211250.0,0.035035035035035036,0,Инженер данных,0.006214536611726561,0.0030950170225936243,0.0060845756008518406,0.004723837209302325,0.002635046113306983,0.005319148936170213
Адаптация трейд-маркетинговой стратегии,1132,,,,0.0005005005005005005,1,Аналитик,0.0,0.00030950170225936243,0.0,0.0,0.0,0.0
VBA,1133,60900.0,100000.0,114840.0,0.02952952952952953,2,Аналитик данных,0.0013509862199405566,0.004642525533890436,0.0069972619409796166,0.005813953488372093,0.0,0.0
1С: Управление Торговлей Управление продажами Организаторские навыки,1134,,,,0.0005005005005005005,1,Аналитик,0.0,0.00030950170225936243,0.0,0.0,0.0,0.0
Planfix,1135,,,,0.0005005005005005005,2,Аналитик данных,0.0,0.0,0.000304228780042592,0.0,0.0,0.0
CRM,1136,50400.0,70000.0,101100.0,0.024524524524524523,3,Bi аналитик,0.0037827614158335585,0.003714020427112349,0.002433830240340736,0.00436046511627907,0.002635046113306983,0.0026595744680851063
1C ERP,1137,,,,0.0025025025025025025,3,Bi аналитик,0.0,0.0006190034045187249,0.0,0.0010901162790697674,0.0,0.0
Логика,1138,,,,0.0015015015015015015,1,Аналитик,0.0,0.0006190034045187249,0.000304228780042592,0.0,0.0,0.0
Core,1139,,,,0.0005005005005005005,0,Инженер данных,0.0002701972439881113,0.0,0.0,0.0,0.0,0.0
Работа с базами данных,1140,45000.0,60450.0,87000.0,0.04504504504504504,2,Аналитик данных,0.0027019724398811133,0.00773754255648406,0.011256464861575905,0.0061773255813953485,0.0013175230566534915,0.0
• Понимание ценообразования рынка перевозок.,1141,,,,0.0005005005005005005,3,Bi аналитик,0.0,0.0,0.0,0.0003633720930232558,0.0,0.0
БСП,1142,,,,0.0005005005005005005,3,Bi аналитик,0.0,0.0,0.0,0.0003633720930232558,0.0,0.0
VMware vCloud Director,1143,,,,0.0005005005005005005,0,Инженер данных,0.0002701972439881113,0.0,0.0,0.0,0.0,0.0
Business Development,1144,,,,0.0015015015015015015,0,Инженер данных,0.0008105917319643339,0.0,0.0,0.0,0.0,0.0
DCF,1145,,,,0.0005005005005005005,0,Инженер данных,0.0002701972439881113,0.0,0.0,0.0,0.0,0.0
Управление товарными запасами,1146,,,,0.0025025025025025025,1,Аналитик,0.0,0.0012380068090374497,0.000304228780042592,0.0,0.0,0.0
АСУ ТК,1147,,,,0.0005005005005005005,2,Аналитик данных,0.0,0.0,0.000304228780042592,0.0,0.0,0.0
Проектирование пользовательских интерфейсов,1148,,,,0.003003003003003003,3,Bi аналитик,0.0005403944879762226,0.00030950170225936243,0.000304228780042592,0.0007267441860465116,0.0,0.0
Государственные структуры,1149,,,,0.0005005005005005005,3,Bi аналитик,0.0,0.0,0.0,0.0003633720930232558,0.0,0.0
Конкурентная аналитика,1150,47500.0,80000.0,105600.0,0.012512512512512513,1,Аналитик,0.0002701972439881113,0.004023522129371711,0.002433830240340736,0.0010901162790697674,0.0,0.0
Growth Marketing,1151,,,,0.0005005005005005005,3,Bi аналитик,0.0,0.0,0.0,0.0003633720930232558,0.0,0.0
ЕСКД,1152,,,,0.0005005005005005005,3,Bi аналитик,0.0,0.0,0.0,0.0003633720930232558,0.0,0.0
Ввод в эксплуатацию,1153,,,,0.0005005005005005005,0,Инженер данных,0.0002701972439881113,0.0,0.0,0.0,0.0,0.0
ERD,1154,,,,0.0005005005005005005,2,Аналитик данных,0.0,0.0,0.000304228780042592,0.0,0.0,0.0
Collections,1155,,,,0.0005005005005005005,0,Инженер данных,0.0002701972439881113,0.0,0.0,0.0,0.0,0.0
Мобильный банк,1156,,,,0.0005005005005005005,3,Bi аналитик,0.0,0.0,0.0,0.0003633720930232558,0.0,0.0
Financial Analysis,1157,,,,0.001001001001001001,1,Аналитик,0.0002701972439881113,0.00030950170225936243,0.0,0.0,0.0,0.0
WebSocket,1158,,,,0.001001001001001001,0,Инженер данных,0.0005403944879762226,0.0,0.0,0.0,0.0,0.0
xray,1159,,,,0.0005005005005005005,0,Инженер данных,0.0002701972439881113,0.0,0.0,0.0,0.0,0.0
Use Case Analysis,1160,,,,0.003003003003003003,1,Аналитик,0.0,0.0009285051067780873,0.0009126863401277761,0.0,0.0,0.0
Cybersecurity,1161,,,,0.001001001001001001,4,ML инженер,0.0,0.0,0.0,0.0,0.002635046113306983,0.0
Эффективность,1162,,,,0.0005005005005005005,2,Аналитик данных,0.0,0.0,0.000304228780042592,0.0,0.0,0.0
DSP,1163,,,,0.002002002002002002,0,Инженер данных,0.0010807889759524452,0.0,0.0,0.0,0.0,0.0
Embarcadero Delphi,1164,,,,0.0005005005005005005,3,Bi аналитик,0.0,0.0,0.0,0.0003633720930232558,0.0,0.0
Работа в Excel,1165,,,,0.0025025025025025025,1,Аналитик,0.0,0.0012380068090374497,0.000304228780042592,0.0,0.0,0.0
Кластерный анализ,1166,,,,0.0005005005005005005,0,Инженер данных,0.0002701972439881113,0.0,0.0,0.0,0.0,0.0
Wildberries,1167,,,,0.0005005005005005005,2,Аналитик данных,0.0,0.0,0.000304228780042592,0.0,0.0,0.0
Серверное оборудование,1168,,,,0.0005005005005005005,0,Инженер данных,0.0002701972439881113,0.0,0.0,0.0,0.0,0.0
Аналитический склад ума,1169,45000.0,55000.0,115000.0,0.00850850850850851,2,Аналитик данных,0.0010807889759524452,0.0012380068090374497,0.0021296014602981443,0.0007267441860465116,0.0,0.0
Работа с оргтехникой,1170,,,,0.0005005005005005005,0,Инженер данных,0.0002701972439881113,0.0,0.0,0.0,0.0,0.0
Computer Vision,1171,,,,0.006006006006006006,4,ML инженер,0.0005403944879762226,0.0,0.0,0.0,0.011857707509881422,0.005319148936170213
Организация рабочего процесса,1172,,,,0.0005005005005005005,2,Аналитик данных,0.0,0.0,0.000304228780042592,0.0,0.0,0.0
Canvas,1173,,,,0.0015015015015015015,4,ML инженер,0.0,0.0,0.0,0.0,0.003952569169960474,0.0
Stack-buffer-overflow,1174,,,,0.002002002002002002,0,Инженер данных,0.0010807889759524452,0.0,0.0,0.0,0.0,0.0
Планирование рекламных кампаний,1175,,,,0.0005005005005005005,3,Bi аналитик,0.0,0.0,0.0,0.0003633720930232558,0.0,0.0
Стрессоустойчивость,1176,,,,0.0045045045045045045,1,Аналитик,0.0005403944879762226,0.0009285051067780873,0.000608457560085184,0.0007267441860465116,0.0,0.0
Use cases,1177,,,,0.001001001001001001,0,Инженер данных,0.0005403944879762226,0.0,0.0,0.0,0.0,0.0
исполнение поручений руководителя,1178,,,,0.0005005005005005005,1,Аналитик,0.0,0.00030950170225936243,0.0,0.0,0.0,0.0
Microsoft Access,1179,,,,0.003003003003003003,4,ML инженер,0.0002701972439881113,0.00030950170225936243,0.000608457560085184,0.0003633720930232558,0.0013175230566534915,0.0
Маркетинговые коммуникации,1180,,,,0.0055055055055055055,3,Bi аналитик,0.0008105917319643339,0.0006190034045187249,0.0,0.001816860465116279,0.0013175230566534915,0.0
Microservices,1181,,,,0.0005005005005005005,0,Инженер данных,0.0002701972439881113,0.0,0.0,0.0,0.0,0.0
Математический склад ума,1182,,,,0.003003003003003003,1,Аналитик,0.0002701972439881113,0.0009285051067780873,0.000608457560085184,0.0,0.0,0.0
Взаимодействие с заказчиком,1183,,,,0.002002002002002002,1,Аналитик,0.0002701972439881113,0.0009285051067780873,0.0,0.0,0.0,0.0
