,x,y,Профессия
0,7.4403496,8.879296,Инженер данных
1,7.442847,7.626442,Аналитик
2,7.6153007,8.039445,Аналитик данных
3,7.657244,8.106061,Bi аналитик
4,2.4803011,13.183284,ML инженер
5,2.243671,12.889664,Data scientist
