vacancy_id,query
71665198,['business analyst']
71715375,"['data analyst', 'data']"
71821696,['машинное обучение']
71830014,['business analyst']
71864086,"['machine learning', 'ML/DL', 'deep learning', 'NLP']"
71887728,['Artificial intelligence']
71897125,['аналитик данных']
71902417,"['data engineer', 'Data Architect', 'Big Data']"
71902418,"['data engineer', 'Data Architect', 'Big Data']"
71902627,"['Data Architect', 'Big Data']"
71902628,"['Data Architect', 'Big Data']"
71903031,['аналитик данных']
71908246,['инженер данных']
71976054,['аналитик данных']
71991677,['Artificial intelligence']
71991678,['Artificial intelligence']
71991679,['Artificial intelligence']
72006450,['data']
72031091,['машинное обучение']
72038789,['машинное обучение']
72054128,"['data science', 'data analyst', 'data engineer', 'Big Data']"
72086045,"['машинное обучение', 'инженер данных']"
72088298,['аналитик данных']
72105640,['data analyst']
72105641,['data analyst']
72105642,['data analyst']
72106926,['business analyst']
72111770,['data']
72123504,['машинное обучение']
72138778,['инженер данных']
72139075,['business analyst']
72169448,['инженер данных']
72184706,['инженер данных']
72256418,['инженер данных']
72300562,['business analyst']
72306488,['Artificial intelligence']
72312345,"['data analyst', 'машинное обучение', 'data engineer', 'инженер данных', 'data', 'Artificial intelligence', 'Big Data']"
72347711,['business analyst']
72347751,['business analyst']
72375782,['Artificial intelligence']
72375783,['Artificial intelligence']
72384054,['машинное обучение']
72414949,['машинное обучение']
72420934,"['machine learning', 'Business Intelligence Developer']"
72551263,['инженер данных']
72553894,['business analyst']
72554051,['business analyst']
72555888,['NLP']
72563146,"['data analyst', 'data engineer', 'data']"
72607089,['инженер данных']
72608911,['специалист по данным']
72646989,['машинное обучение']
72698908,['аналитик данных']
72732355,['business analyst']
72740316,"['data scientist', 'data analyst', 'data']"
72746877,['business analyst']
72747356,"['аналитик данных', 'data analyst', 'data']"
72748390,['Artificial intelligence']
72798766,['business analyst']
72811584,['специалист по данным']
72816203,['business analyst']
72819825,['business analyst']
72850148,['data']
72864389,['data science']
72885814,"['data analyst', 'data engineer', 'инженер данных', 'data', 'Artificial intelligence']"
72888624,['инженер данных']
72888885,"['data analyst', 'Big Data']"
72923267,['машинное обучение']
72964078,['специалист по данным']
72985700,['data analyst']
73000868,['инженер данных']
73013752,['аналитик данных']
73014433,['machine learning']
73015413,['business analyst']
73023003,['Artificial intelligence']
73023069,['Artificial intelligence']
73026937,['data analyst']
73032489,['машинное обучение']
73093950,['business analyst']
73095668,['business analyst']
73100947,"['data analyst', 'data engineer', 'data']"
73132678,"['data analyst', 'Artificial intelligence']"
73134364,['Artificial intelligence']
73135054,['data engineer']
73143897,['business analyst']
73146302,['машинное обучение']
73195133,['аналитик данных']
73231126,['инженер данных']
73235950,"['аналитик данных', 'data analyst', 'data', 'Big Data', 'Business Intelligence Developer']"
73298719,"['data science', 'data analyst', 'machine learning']"
73308695,"['data science', 'data analyst', 'Business Intelligence Developer']"
73308737,['business analyst']
73311069,['специалист по данным']
73313568,['data']
73324633,['business analyst']
73324634,['business analyst']
73324635,['business analyst']
73327774,"['machine learning', 'deep learning', 'computer vision', 'Machine Learning Engineer']"
73328259,"['machine learning', 'computer vision', 'Machine Learning Engineer']"
73328318,"['machine learning', 'computer vision', 'Machine Learning Engineer']"
73328354,"['machine learning', 'computer vision', 'Machine Learning Engineer']"
73328509,"['data science', 'machine learning', 'data engineer', 'data mining', 'computer vision', 'Natural Language Processing', 'Machine Learning Engineer']"
73328547,"['data science', 'machine learning', 'data engineer', 'data mining', 'computer vision', 'Natural Language Processing', 'Machine Learning Engineer']"
73328680,"['data science', 'machine learning', 'data engineer', 'data mining', 'computer vision', 'Natural Language Processing', 'Machine Learning Engineer']"
73328814,"['data science', 'machine learning', 'data engineer', 'data mining', 'computer vision', 'Natural Language Processing', 'Machine Learning Engineer']"
73329620,"['data science', 'data engineer']"
73329752,"['data science', 'data engineer']"
73343751,['business analyst']
73373726,['Artificial intelligence']
73374678,"['business analyst', 'Artificial intelligence']"
73376779,['business analyst']
73392551,['data']
73393370,['business analyst']
73398007,"['машинное обучение', 'Artificial intelligence']"
73404665,['data engineer']
73432590,"['машинное обучение', 'Artificial intelligence']"
73432616,"['аналитик данных', 'машинное обучение', 'Artificial intelligence']"
73434352,['аналитик данных']
73453136,"['data engineer', 'Big Data']"
73456796,['инженер данных']
73505831,['Artificial intelligence']
73511119,['business analyst']
73525788,['инженер данных']
73547776,['business analyst']
73575421,['Artificial intelligence']
73591507,['business analyst']
73596464,['машинное обучение']
73711177,['машинное обучение']
73720495,['business analyst']
73721110,"['data mining', 'data']"
73723504,['business analyst']
73723516,['машинное обучение']
73727915,['инженер данных']
73740883,"['data scientist', 'data analyst', 'machine learning', 'data engineer', 'data', 'Big Data', 'Machine Learning Scientist', 'Machine Learning Engineer']"
73740885,"['data engineer', 'Big Data']"
73740887,"['data scientist', 'data analyst', 'machine learning', 'data engineer', 'data', 'Big Data', 'Machine Learning Scientist', 'Machine Learning Engineer']"
73750158,['машинное обучение']
73751357,['data scientist']
73769178,"['Artificial intelligence', 'Big Data']"
73778142,"['data analyst', 'data']"
73801378,['data analyst']
73813608,['business analyst']
73846062,['машинное обучение']
73868444,['cloud computing']
73869917,['машинное обучение']
73885794,['специалист по данным']
73888455,"['data analyst', 'data engineer', 'инженер данных', 'data']"
73888466,"['data analyst', 'data']"
73891564,['data engineer']
73893154,['машинное обучение']
73983269,['машинное обучение']
74002734,['business analyst']
74007023,"['data engineer', 'Big Data']"
74015919,"['data analyst', 'data']"
74026236,['инженер данных']
74038109,"['data analyst', 'машинное обучение', 'data']"
74038110,"['data analyst', 'data']"
74042813,['Database Administrator']
74047854,['Artificial intelligence']
74056066,['business analyst']
74056142,['business analyst']
74082301,['инженер данных']
74082478,['специалист по данным']
74083518,['machine learning']
74092302,['business analyst']
74135112,['машинное обучение']
74144232,['специалист по данным']
74241540,['data analyst']
74245430,['business analyst']
74257288,"['data analyst', 'data mining', 'data']"
74261779,['business analyst']
74293658,['Artificial intelligence']
74293659,['Artificial intelligence']
74293660,['Artificial intelligence']
74293661,['Artificial intelligence']
