vacancy_id,query
32569325,"['машинное обучение', 'ml']"
36220622,['CV']
37830853,['CV']
38233779,['инженер данных']
38813991,['инженер данных']
39148195,"['специалист по данным', 'машинное обучение']"
39148196,['машинное обучение']
39884668,['data']
41729590,['специалист по данным']
42041458,['аналитик данных']
42440278,['машинное обучение']
44116185,['business analyst']
45499044,['CV']
45703559,['инженер данных']
45759543,['машинное обучение']
45866027,['инженер данных']
46115746,['инженер данных']
46730035,['инженер данных']
46750559,['инженер данных']
46789849,['специалист по данным']
47431391,['машинное обучение']
47442301,['машинное обучение']
47735965,['CV']
48070591,['инженер данных']
48385113,['business analyst']
48636683,['CV']
48757079,['машинное обучение']
48787902,['машинное обучение']
49231330,['Artificial intelligence']
49470036,['business analyst']
49783935,['CV']
50391855,['специалист по данным']
50525943,['машинное обучение']
50582155,['инженер данных']
51005634,['инженер данных']
51043123,['business analyst']
51170184,['машинное обучение']
51264539,['аналитик данных']
52061201,['машинное обучение']
52061204,['машинное обучение']
52069068,['машинное обучение']
52646389,['машинное обучение']
53248423,['машинное обучение']
53320397,['data']
53947729,['Artificial intelligence']
54012112,"['data analyst', 'business analyst', 'data']"
54028163,['машинное обучение']
54028179,['машинное обучение']
54368015,['машинное обучение']
54455301,"['инженер данных', 'Artificial intelligence']"
54647916,['машинное обучение']
54679600,['business analyst']
54682750,['машинное обучение']
54805138,['инженер данных']
54840465,['специалист по данным']
54848793,"['data science', 'data analyst', 'machine learning', 'data mining', 'business analyst', 'data', 'Data Visualization', 'Data Visualizers', 'Big Data']"
54944166,['специалист по данным']
55088580,['machine learning']
55091377,['business analyst']
55123008,['инженер данных']
55148580,['data']
55304347,['инженер данных']
55371346,['машинное обучение']
55582790,['инженер данных']
66082956,['CV']
66167438,['специалист по данным']
66209137,['Artificial intelligence']
66708433,['business analyst']
66755461,['инженер данных']
66758235,['CV']
66788315,['специалист по данным']
66788326,['специалист по данным']
66810200,['инженер данных']
66919330,['аналитик данных']
66932182,['Artificial intelligence']
66944384,['инженер данных']
66985590,['инженер данных']
66996427,['аналитик данных']
67062520,['машинное обучение']
67075021,['машинное обучение']
67077643,['инженер данных']
67223966,['машинное обучение']
67224916,"['аналитик данных', 'data analyst', 'data']"
67251201,['инженер данных']
67318512,['машинное обучение']
67345392,['business analyst']
67381857,['машинное обучение']
67471385,['инженер данных']
67495917,['аналитик данных']
67505701,['инженер данных']
67506835,['инженер данных']
67507605,['машинное обучение']
67587903,['инженер данных']
67635885,['машинное обучение']
67743451,['аналитик данных']
67771451,['инженер данных']
67839583,['машинное обучение']
67839604,['машинное обучение']
67883113,"['аналитик данных', 'CV']"
67975632,['инженер данных']
67975834,"['инженер данных', 'Artificial intelligence']"
68057353,['машинное обучение']
68074279,['инженер данных']
68180475,['инженер данных']
68198842,['инженер данных']
68218486,['CV']
68240260,"['инженер данных', 'Artificial intelligence']"
68320486,['аналитик данных']
68345490,"['data analyst', 'машинное обучение', 'data']"
68370438,['business analyst']
68372185,['business analyst']
68386329,['машинное обучение']
68393550,['инженер данных']
68476222,['Artificial intelligence']
68571976,['инженер данных']
68645888,['машинное обучение']
68699847,"['машинное обучение', 'ml', 'ML/DL', 'инженер данных']"
68703447,"['Database Administrator', 'Database Administrator']"
68707773,['business analyst']
68762240,['инженер данных']
68764848,['специалист по данным']
68795197,['инженер данных']
68852730,['business analyst']
68889147,['CV']
68941101,['business analyst']
68946525,['инженер данных']
68975044,"['инженер данных', 'Business Intelligence Developer']"
68978887,['машинное обучение']
69015080,"['data science', 'data']"
69034827,"['business analyst', 'Artificial intelligence']"
69199016,"['data analyst', 'data engineer', 'инженер данных', 'data']"
69199025,"['data analyst', 'business analyst', 'data']"
69199642,['специалист по данным']
69205389,['CV']
69256739,['инженер данных']
69300497,['CV']
69333631,['Advanced Analytics']
69383993,['машинное обучение']
69389773,['инженер данных']
69405232,"['data engineer', 'data']"
69458365,['машинное обучение']
69496408,['аналитик данных']
69505240,['машинное обучение']
69514804,['data']
69526747,['машинное обучение']
69617211,['аналитик данных']
69630368,['машинное обучение']
69670507,['машинное обучение']
69688139,['специалист по данным']
69841085,"['data science', 'data']"
69841306,['машинное обучение']
69890266,['машинное обучение']
69901825,['business analyst']
69948844,['аналитик данных']
69952038,['Artificial intelligence']
70035343,['data']
70152723,['CV']
70238321,['аналитик данных']
70368551,['аналитик данных']
70401913,['специалист по данным']
70447068,['машинное обучение']
70457737,['инженер данных']
70473680,['специалист по данным']
70619528,['инженер данных']
70795826,['cloud computing']
70814977,['машинное обучение']
70846612,['аналитик данных']
70866789,['CV']
70882459,['инженер данных']
70961596,['инженер данных']
70974633,['специалист по данным']
70981936,['data']
70983815,['Artificial intelligence']
70985788,"['data analyst', 'data']"
71026936,['инженер данных']
71031603,['машинное обучение']
71038035,"['аналитик данных', 'инженер данных']"
71060234,['computer vision']
71060290,['computer vision']
71073081,['инженер данных']
71102440,"['data science', 'data']"
71105675,['business analyst']
71110662,['business analyst']
71147348,"['data', 'Big Data']"
71195256,['CV']
71219204,['машинное обучение']
71220381,['data']
71235043,['business analyst']
71265000,"['data', 'Big Data']"
71275393,['специалист по данным']
71288559,['машинное обучение']
71312377,['аналитик данных']
71318181,['CV']
71324858,"['data science', 'data analyst', 'data']"
71347791,['CV']
71380853,['инженер данных']
71388767,['инженер данных']
71394929,['инженер данных']
71403069,['машинное обучение']
71405063,['машинное обучение']
71405067,['машинное обучение']
71405068,['машинное обучение']
71405069,['машинное обучение']
71405070,['машинное обучение']
71405071,['машинное обучение']
71405072,['машинное обучение']
71490779,['инженер данных']
71492656,['инженер данных']
71494399,"['data analyst', 'business analyst', 'data']"
71509355,"['data engineer', 'data', 'Big Data']"
71543306,['машинное обучение']
71543539,['машинное обучение']
71644294,['инженер данных']
71649791,['инженер данных']
71678201,['инженер данных']
71681081,['аналитик данных']
71693754,['business analyst']
71694585,['Database Administrator']
71743369,['CV']
71819219,['аналитик данных']
71852073,['машинное обучение']
71854478,['машинное обучение']
71854479,['машинное обучение']
71915684,"['data', 'Big Data']"
71971820,['инженер данных']
71980991,['машинное обучение']
71989275,['аналитик данных']
71996035,['аналитик данных']
71998254,['CV']
72017871,['Artificial intelligence']
72035252,['инженер данных']
72068355,['инженер данных']
72071612,['аналитик данных']
72098648,['машинное обучение']
72103925,['машинное обучение']
72112934,['business analyst']
72140318,['data']
72160393,['инженер данных']
72190256,['инженер данных']
72295433,['инженер данных']
72300682,['машинное обучение']
72308265,['инженер данных']
72328957,['машинное обучение']
72350605,['инженер данных']
72389273,['CV']
72395518,['инженер данных']
72404109,"['специалист по данным', 'машинное обучение']"
72417513,['business analyst']
72447287,['машинное обучение']
72450265,['машинное обучение']
72451265,['машинное обучение']
72462141,['специалист по данным']
72462680,['инженер данных']
72464205,['инженер данных']
72477656,['business analyst']
72486696,"['business analyst', 'Business Intelligence Developer']"
72517399,['аналитик данных']
72522781,['машинное обучение']
72545959,['CV']
72653321,['Artificial intelligence']
72657330,['машинное обучение']
72679130,"['data engineer', 'инженер данных', 'data', 'Big Data']"
72705333,['data']
72731102,"['аналитик данных', 'инженер данных']"
72733638,['машинное обучение']
72742199,['data']
72743658,['машинное обучение']
72784395,['CV']
72790429,['ml']
72791190,['инженер данных']
72817089,['аналитик данных']
72819586,['аналитик данных']
72839289,['машинное обучение']
72856883,"['data analyst', 'data']"
72856893,"['data analyst', 'business analyst', 'data']"
72856913,"['data analyst', 'data engineer', 'data']"
72874341,['CV']
72874895,['аналитик данных']
72878589,['машинное обучение']
72916422,['data']
72916423,['data']
72929240,['инженер данных']
72938521,['инженер данных']
72940388,['business analyst']
72941444,['аналитик данных']
72945928,['CV']
72998760,['инженер данных']
72998830,['инженер данных']
73008144,['business analyst']
73010122,['машинное обучение']
73018740,['CV']
73042285,['business analyst']
73061696,['CV']
73073349,['машинное обучение']
73077072,['инженер данных']
73090321,['аналитик данных']
73159051,['машинное обучение']
73178829,['computer vision']
73194694,['инженер данных']
73195024,['Business Intelligence Developer']
73227535,['инженер данных']
73230917,['Artificial intelligence']
73237904,['инженер данных']
73296147,"['Data Architect', 'data']"
73312862,['инженер данных']
73313775,"['data analyst', 'data']"
73327230,['машинное обучение']
73373265,['инженер данных']
73383025,"['инженер данных', 'Artificial intelligence']"
73383026,['Artificial intelligence']
73402166,['машинное обучение']
73428568,['инженер данных']
73434854,['машинное обучение']
73448515,['business analyst']
73448868,['машинное обучение']
73461323,['business analyst']
73462003,['инженер данных']
73466476,"['data analyst', 'data']"
73469447,['business analyst']
73469470,['business analyst']
73469488,['business analyst']
73472825,"['аналитик данных', 'ml']"
73527009,['машинное обучение']
73529057,"['ml', 'NLP', 'Artificial intelligence']"
73532724,"['data engineer', 'data']"
73532917,['инженер данных']
73570826,"['data analyst', 'data']"
73573446,['инженер данных']
73575677,['машинное обучение']
73576120,['специалист по данным']
73576480,['машинное обучение']
73577326,['инженер данных']
73591237,"['data analyst', 'data engineer', 'инженер данных', 'data']"
73681087,"['инженер данных', 'Artificial intelligence']"
73693417,['инженер данных']
73698176,['специалист по данным']
73699796,['машинное обучение']
73701874,"['машинное обучение', 'инженер данных', 'CV']"
73704650,['инженер данных']
73743203,['машинное обучение']
73757957,['машинное обучение']
73791096,['машинное обучение']
73803752,['машинное обучение']
73810205,['машинное обучение']
73814819,['машинное обучение']
73822636,['CV']
73824280,['машинное обучение']
73838511,['CV']
73845883,['инженер данных']
73849552,['аналитик данных']
73861180,['машинное обучение']
73863330,"['data engineer', 'data', 'Advanced Analytics']"
73866509,['CV']
73868043,['машинное обучение']
73869202,['business analyst']
73895349,['CV']
73899881,['business analyst']
73900068,['business analyst']
73902759,['business analyst']
73904441,['аналитик данных']
73904442,['аналитик данных']
73904443,['аналитик данных']
73914486,['Artificial intelligence']
73971862,['business analyst']
73971938,['business analyst']
73976288,['инженер данных']
73976324,['инженер данных']
73980521,['аналитик данных']
73983340,['инженер данных']
73984504,"['инженер данных', 'Artificial intelligence']"
73992217,['инженер данных']
74007356,['инженер данных']
74007688,['business analyst']
74026409,['инженер данных']
74053063,['data']
74058804,['машинное обучение']
74060863,['Business Intelligence Developer']
74080786,['машинное обучение']
74081842,['машинное обучение']
74095829,['CV']
74099628,['машинное обучение']
74131210,['машинное обучение']
74131211,['машинное обучение']
74140822,['инженер данных']
74155279,['Artificial intelligence']
74185680,['Database Administrator']
74228935,['машинное обучение']
74234241,['business analyst']
74291242,"['data analyst', 'data engineer', 'data']"
74291253,"['data analyst', 'data']"
74293872,['машинное обучение']
74295173,['машинное обучение']
74333595,['инженер данных']
74341579,['Artificial intelligence']
74369182,['CV']
74369347,['инженер данных']
74375632,['машинное обучение']
74382898,['машинное обучение']
74401586,['машинное обучение']
74402629,['инженер данных']
74404730,['Artificial intelligence']
74407357,['business analyst']
74408944,['CV']
74412745,['CV']
